0,1,2,3,4,5,6,7,8,9
13722.0,53003.0,57020.0,16486.0,44916.0,4445.0,32580.0,49059.0,51495.0,
41057.0,20490.0,12420.0,37755.0,48016.0,45938.0,38969.0,,,
46643.0,54718.0,31455.0,2142.0,10211.0,42291.0,49835.0,2960.0,57172.0,
22138.0,40393.0,5704.0,3275.0,7507.0,54134.0,25885.0,59503.0,,
2019.0,55600.0,51057.0,25885.0,12474.0,38052.0,,,,
59729.0,17100.0,,,,,,,,
28092.0,33905.0,,,,,,,,
52655.0,34546.0,618.0,31687.0,1420.0,48925.0,,,,
48267.0,12104.0,,,,,,,,
12805.0,48641.0,17203.0,22141.0,50579.0,43655.0,1776.0,58106.0,57925.0,26832.0
,,,,,,,,,
51871.0,14408.0,18549.0,58417.0,17531.0,58083.0,38663.0,,,
44598.0,19095.0,34472.0,8356.0,,,,,,
29630.0,59406.0,44048.0,18061.0,,,,,,
508.0,43218.0,26299.0,28469.0,4569.0,52116.0,,,,
18208.0,32141.0,29216.0,26642.0,54504.0,59544.0,,,,
46003.0,5896.0,,,,,,,,
46531.0,,,,,,,,,
55619.0,56622.0,4325.0,,,,,,,
16866.0,18150.0,18976.0,26211.0,37761.0,34111.0,3363.0,54929.0,,
54877.0,52919.0,49609.0,23642.0,5224.0,,,,,
546.0,47519.0,29750.0,12677.0,54953.0,15308.0,30765.0,,,
19972.0,2830.0,16022.0,12874.0,,,,,,
13.0,29397.0,4702.0,4697.0,4726.0,4722.0,55549.0,29396.0,,
,,,,,,,,,
8080.0,1420.0,20002.0,51575.0,33402.0,1308.0,,,,
20281.0,56188.0,21142.0,54836.0,43180.0,23603.0,,,,
34677.0,14043.0,,,,,,,,
21848.0,23360.0,40872.0,50009.0,11262.0,26011.0,30908.0,18058.0,,
3542.0,5333.0,45915.0,,,,,,,
55782.0,17701.0,38052.0,38638.0,41995.0,54838.0,44527.0,7105.0,,
11235.0,,,,,,,,,
57809.0,54450.0,30867.0,6600.0,55049.0,1770.0,,,,
55546.0,93.0,36209.0,42455.0,59126.0,47322.0,22437.0,25280.0,30815.0,51499.0
3150.0,37286.0,22132.0,29203.0,14892.0,36015.0,,,,
33038.0,5587.0,40395.0,13941.0,45154.0,10074.0,34352.0,,,
49104.0,25814.0,59450.0,,,,,,,
4994.0,15090.0,7132.0,6331.0,12230.0,55789.0,5557.0,14194.0,,
19465.0,29879.0,51774.0,41104.0,9341.0,5271.0,40732.0,,,
11551.0,27867.0,39966.0,24648.0,25569.0,58011.0,59152.0,,,
6155.0,59714.0,23716.0,3945.0,40650.0,18976.0,,,,
6437.0,47800.0,44862.0,17737.0,19611.0,11933.0,8992.0,,,
328.0,21310.0,3586.0,6680.0,14499.0,37676.0,18022.0,43892.0,,
29463.0,31492.0,18644.0,55579.0,5681.0,34242.0,1808.0,,,
50347.0,3114.0,12542.0,58574.0,17660.0,14571.0,,,,
1914.0,12412.0,52005.0,741.0,23407.0,59800.0,,,,
58141.0,22727.0,44323.0,,,,,,,
29331.0,57420.0,50905.0,24273.0,1701.0,19830.0,55871.0,32269.0,28367.0,41536.0
3916.0,31204.0,16061.0,38697.0,12843.0,37984.0,39108.0,,,
27217.0,42712.0,,,,,,,,
40995.0,13433.0,40333.0,7288.0,14361.0,44199.0,,,,
19580.0,15562.0,6266.0,,,,,,,
21227.0,56789.0,13859.0,53461.0,16910.0,,,,,
23098.0,20806.0,,,,,,,,
57061.0,19210.0,7771.0,,,,,,,
46151.0,3333.0,51836.0,21141.0,2224.0,43775.0,20888.0,48974.0,32759.0,
58231.0,57277.0,7591.0,42864.0,5670.0,41264.0,42505.0,56789.0,,
12466.0,3817.0,44042.0,4747.0,37352.0,546.0,24398.0,32861.0,14539.0,
14338.0,15833.0,59738.0,35844.0,5853.0,10930.0,49552.0,,,
19372.0,36699.0,55628.0,30829.0,28866.0,40755.0,2747.0,,,
48615.0,20922.0,26915.0,57683.0,40218.0,5931.0,18738.0,,,
17237.0,27444.0,44925.0,28344.0,34900.0,31208.0,22299.0,,,
13779.0,34012.0,182.0,29220.0,32161.0,2094.0,5738.0,,,
51362.0,11843.0,54692.0,5651.0,11234.0,2533.0,40256.0,9128.0,,
,,,,,,,,,
35726.0,44821.0,39971.0,43950.0,55936.0,48612.0,20798.0,,,
35852.0,40866.0,45083.0,9315.0,23192.0,49456.0,47963.0,,,
53611.0,14248.0,29829.0,55312.0,47369.0,30679.0,34045.0,,,
45551.0,21474.0,48611.0,59820.0,26118.0,40913.0,5291.0,25898.0,46443.0,
11860.0,59403.0,48437.0,31771.0,,,,,,
554.0,37598.0,7.0,,,,,,,
22690.0,32805.0,53314.0,46023.0,35303.0,,,,,
15672.0,14922.0,16504.0,46013.0,26966.0,9212.0,,,,
23571.0,48143.0,7581.0,2318.0,28784.0,58545.0,,,,
33032.0,52390.0,29786.0,49656.0,50996.0,45819.0,58865.0,42849.0,20412.0,
8284.0,47505.0,,,,,,,,
36445.0,23407.0,27444.0,10314.0,20132.0,49018.0,,,,
51133.0,13016.0,11933.0,45048.0,,,,,,
37235.0,38409.0,25463.0,19077.0,30358.0,,,,,
32840.0,50579.0,472.0,22141.0,25024.0,57925.0,48145.0,,,
28618.0,20412.0,18854.0,3639.0,19213.0,58865.0,,,,
6061.0,4849.0,44908.0,34032.0,,,,,,
47971.0,57925.0,22141.0,58457.0,56112.0,44645.0,20963.0,,,
43668.0,30575.0,40847.0,57745.0,1058.0,14429.0,1045.0,38519.0,,
37448.0,36815.0,22278.0,32417.0,21400.0,1147.0,,,,
48836.0,,,,,,,,,
38117.0,6382.0,49820.0,44451.0,3919.0,1193.0,21123.0,,,
56600.0,17489.0,15122.0,10907.0,6094.0,54483.0,,,,
4191.0,22982.0,1865.0,,,,,,,
20030.0,18528.0,,,,,,,,
50042.0,38814.0,11409.0,37563.0,16873.0,15660.0,37157.0,13582.0,,
22442.0,53067.0,24027.0,23017.0,54009.0,38666.0,40152.0,6608.0,,
5556.0,45057.0,24154.0,34438.0,,,,,,
26582.0,4384.0,8012.0,8399.0,56041.0,48974.0,,,,
10308.0,34191.0,41863.0,34012.0,3159.0,26582.0,53815.0,,,
16458.0,28117.0,45657.0,57657.0,23040.0,16170.0,41899.0,20217.0,15753.0,
54059.0,45481.0,47474.0,24191.0,52516.0,39126.0,37334.0,,,
28558.0,53566.0,23079.0,,,,,,,
40782.0,52118.0,46465.0,10969.0,3652.0,18738.0,1921.0,51389.0,,
46325.0,28814.0,13524.0,3813.0,51241.0,,,,,
,,,,,,,,,
29785.0,39352.0,2562.0,43624.0,23679.0,26796.0,,,,
,,,,,,,,,
52904.0,2821.0,52950.0,,,,,,,
1038.0,36031.0,44762.0,23975.0,11647.0,,,,,
30969.0,6469.0,19842.0,49151.0,2125.0,3322.0,4079.0,,,
31435.0,33876.0,49886.0,48997.0,3252.0,16514.0,1776.0,,,
51293.0,50583.0,46322.0,25993.0,12962.0,54611.0,41914.0,53396.0,,
28718.0,55098.0,33485.0,,,,,,,
15998.0,459.0,14222.0,2401.0,6927.0,49820.0,49408.0,58138.0,30712.0,35654.0
42207.0,2682.0,91.0,34105.0,,,,,,
22965.0,27795.0,7850.0,28621.0,53701.0,27970.0,13020.0,,,
55487.0,25698.0,53229.0,54508.0,17429.0,54048.0,,,,
33790.0,10198.0,20281.0,36338.0,55860.0,37658.0,41170.0,36350.0,,
53947.0,,,,,,,,,
12821.0,25824.0,33378.0,33183.0,59350.0,18532.0,,,,
